gender,age,Salary,Rent,Groceries,Utilities,Transportation,Healthcare,Entertainment,Savings,Others,Investment_Recommendation
Male,29,574139,78434,83039,31131,33457,64615,103999,32990,146474,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,595893,115335,63820,37523,42531,29848,91464,26415,188957,Focus on balancing investments between Gold and Fixed Deposits for stability.
Male,27,945159,139988,106402,88688,62582,134650,187840,32623,192386,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,448647,55055,51407,39847,28564,39507,78033,24609,131625,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,780843,155864,87150,52841,49306,67239,121062,33639,213742,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,153846,29044,17681,10553,14957,18898,27052,6338,29323,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,448510,50376,55267,25077,27665,28788,75390,25691,160256,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,27,252145,49100,28544,18563,22837,33173,47282,6780,45866,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,181542,27140,19844,10787,13033,22486,32011,10611,45630,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,683559,125153,69436,53605,54998,99907,103328,27121,150011,Consider increasing investment in Mutual Funds or Equity Market.
Female,31,293746,35390,30163,23316,26035,37449,44507,13631,83255,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,429500,44862,48272,25617,26096,36040,70383,34974,143256,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,344715,46620,49883,20356,30400,19350,59683,11908,106515,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,748561,135511,110431,38742,72380,95356,125716,32532,137893,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,27,138633,17970,16700,7602,11485,7342,24156,8985,44393,Consider increasing investment in Mutual Funds or Equity Market.
Female,26,148157,26983,15926,12994,12735,15698,26555,4067,33199,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,581390,93050,69230,54290,38171,62592,99609,30855,133593,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,30,536565,67281,55771,46913,37906,58437,81193,36907,152157,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,29,842537,158196,110535,42844,58050,124594,155083,22434,170801,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,891321,130186,132216,68396,45663,99808,145785,29588,239679,Consider increasing investment in Mutual Funds or Equity Market.
Female,31,406610,57044,52016,20677,31696,41117,77132,18069,108859,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,418880,65071,57429,39734,28903,46145,77380,10873,93345,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,401979,72387,47784,33570,29579,48332,74855,11376,84096,Consider increasing investment in Mutual Funds or Equity Market.
Female,23,928681,154363,132398,57372,81640,105296,183653,26964,186995,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,26,538748,62186,62283,33886,47325,66434,98852,20409,147373,Consider increasing investment in Mutual Funds or Equity Market.
Female,23,862795,160636,127546,66073,71154,86339,141652,26931,182464,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,32,478001,62782,52361,45456,44416,45966,80477,28416,118127,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,509129,62235,65004,26844,30324,56209,93226,27713,147574,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,123418,23074,18472,10885,9041,16463,19256,4415,21812,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,489952,74391,53357,48332,32789,54650,95016,19800,111617,Consider increasing investment in Mutual Funds or Equity Market.
Male,35,936502,104433,131988,63364,92857,129596,180438,31713,202113,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,781936,137396,116756,59674,57501,40244,144666,41946,183753,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,656074,81842,75941,49228,35168,38685,112225,33168,229817,Consider increasing investment in Mutual Funds or Equity Market.
Female,32,117508,16522,14421,11611,11423,7517,22812,3587,29615,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,675006,101766,73033,46099,58838,62405,128486,35129,169250,Consider increasing investment in Mutual Funds or Equity Market.
Female,26,394452,76636,49980,35543,26091,33361,67067,14924,90850,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,888611,98036,111925,48732,83963,49926,153272,44034,298723,Consider increasing investment in Mutual Funds or Equity Market.
Female,21,610195,70470,84934,52322,34963,69121,115710,32394,150281,Diversify into more Fixed Deposits or Government Bonds.
Female,27,760552,83074,102124,65256,70814,76667,131617,45394,185606,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,30,200216,35969,25615,13321,18472,19129,30960,8257,48493,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,843195,157843,103219,42765,67940,126128,160934,29816,154550,Consider increasing investment in Mutual Funds or Equity Market.
Female,34,832846,159440,117164,62407,66262,102548,160174,17444,147407,Diversify into more Fixed Deposits or Government Bonds.
Male,21,384695,68276,47077,31945,33942,39989,60753,14478,88235,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,297728,32062,40034,29084,26725,26491,53357,11735,78240,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,455411,70181,52389,39583,28676,66673,83385,12240,102284,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,457896,46283,68617,27943,30051,32438,89933,26867,135764,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,508967,76568,65088,33538,41078,46805,81415,27247,137228,Consider increasing investment in Mutual Funds or Equity Market.
Female,25,741047,101808,103193,52444,55885,95407,127752,40221,164337,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,898669,161134,127001,87796,62406,97063,165966,33018,164285,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,419738,81972,48025,27102,40253,54537,67229,15798,84822,Consider increasing investment in Mutual Funds or Equity Market.
Female,23,442545,77258,52066,31739,34859,42799,83045,12150,108629,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,31,884440,126885,103373,71160,78536,50957,139656,52262,261611,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,725460,126114,93882,71922,54390,46160,133713,31926,167353,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,382487,60832,48688,37084,21594,21924,60320,16439,115606,Consider increasing investment in Mutual Funds or Equity Market.
Female,26,103723,16523,13548,6392,7723,10186,17908,5671,25772,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,814396,119854,112320,47499,62381,107835,129396,34442,200669,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,769540,123825,84064,67595,41517,111307,133447,27763,180022,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,510841,57051,62134,42395,27955,41188,97980,29983,152155,Focus on balancing investments between Gold and Fixed Deposits for stability.
Female,25,892288,107643,96408,84967,57420,60631,178456,40161,266602,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,673802,75785,82937,48323,64914,42733,104141,27868,227101,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,792942,150999,97110,45618,63191,82278,126808,36379,190559,Consider increasing investment in Mutual Funds or Equity Market.
Male,21,212022,28416,23729,16012,13693,15311,41129,8522,65210,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,821108,105150,97964,52290,49706,104375,136674,30588,244361,Diversify into more Fixed Deposits or Government Bonds.
Male,31,813618,125370,86467,55225,76554,70717,147774,38094,213417,Consider increasing investment in Mutual Funds or Equity Market.
Male,22,636836,72454,84351,59099,34810,79839,117503,35239,153541,Diversify into more Fixed Deposits or Government Bonds.
Female,24,368758,40714,42512,31239,18844,45508,71133,17266,101542,Focus on balancing investments between Gold and Fixed Deposits for stability.
Female,31,180035,25823,20510,9047,10679,26643,34812,6652,45869,Consider increasing investment in Mutual Funds or Equity Market.
Female,34,738778,145077,87461,47931,42583,103548,147275,21889,143014,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,27,896179,152658,104642,49513,62405,94239,139939,53236,239547,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,617703,92493,69009,49193,55385,51123,114321,26584,159595,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,596520,117160,82646,40455,30355,69048,95380,18116,143360,Consider increasing investment in Mutual Funds or Equity Market.
Female,21,689389,133175,103407,43772,44871,45844,119184,37156,161980,Diversify into more Fixed Deposits or Government Bonds.
Female,34,163941,27895,23332,10070,14185,23255,26898,6476,31830,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,29,904032,126624,103522,89030,60960,54952,153170,45714,270060,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,218856,38348,32280,19884,21130,21340,40700,5914,39260,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,235311,25169,27831,19977,14997,32035,44601,8442,62259,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,828463,110255,117033,51528,55159,69845,157451,27709,239483,Consider increasing investment in Mutual Funds or Equity Market.
Female,32,551445,59213,71094,38522,45022,42266,107796,33023,154509,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,949995,101435,132235,93555,92265,117370,148370,41729,223036,Consider increasing investment in Mutual Funds or Equity Market.
Female,32,429668,55179,63810,36897,34605,51349,73859,15645,98324,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,99335,19229,11582,5173,6958,12818,18121,4995,20459,Consider increasing investment in Mutual Funds or Equity Market.
Male,35,490428,54251,71395,33566,36145,45535,76420,21601,151515,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,243213,42374,24601,13789,12467,33013,43989,8538,64442,Consider increasing investment in Mutual Funds or Equity Market.
Female,34,253818,44895,37651,24551,24386,12889,45548,8030,55868,Diversify into more Fixed Deposits or Government Bonds.
Female,34,224426,35115,26011,12946,16209,22333,44770,6988,60054,Diversify into more Fixed Deposits or Government Bonds.
Male,26,507470,66030,72363,42112,46349,58881,95393,18862,107480,Consider increasing investment in Mutual Funds or Equity Market.
Female,31,329745,39730,46329,25849,18787,43028,65266,12217,78539,Consider increasing investment in Mutual Funds or Equity Market.
Female,26,612155,79183,63718,50946,59959,38933,106673,23364,189379,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,333203,34457,44391,31116,22284,45841,51931,12774,90409,Consider increasing investment in Mutual Funds or Equity Market.
Female,34,126275,24013,15838,10154,6554,7935,19293,8094,34394,Diversify into more Fixed Deposits or Government Bonds.
Male,27,474482,53844,67606,32052,42718,41045,77523,17465,142229,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,808917,103599,99961,73511,58748,119027,143244,21609,189218,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,196482,27809,26416,12126,16688,19721,29725,11355,52642,Diversify into more Fixed Deposits or Government Bonds.
Female,24,370835,57864,38613,27353,23869,51163,60908,21565,89500,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,764158,118149,88780,69292,64854,69841,138680,38162,176400,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,142357,26358,20047,8300,13014,7952,22778,7126,36782,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,29,391578,43649,50971,25609,27987,31920,60111,22711,128620,Consider increasing investment in Mutual Funds or Equity Market.
Female,32,678411,133213,88593,44098,66354,60327,125422,26212,134192,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,733591,143264,106906,42108,39822,96074,143232,24214,137971,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,69724,11789,7216,4252,4007,7678,11147,2505,21130,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,831068,108222,111247,65566,55296,110821,136140,30729,213047,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,869746,135676,107771,62881,50262,87379,141726,39545,244506,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,781837,135537,114807,69344,54949,85457,146458,24789,150496,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,611767,83215,65314,53109,56237,49956,115731,30305,157900,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,347169,61938,41857,30335,24450,20440,61633,15491,91025,Diversify into more Fixed Deposits or Government Bonds.
Female,34,726950,91078,105121,50263,37770,64127,124472,47308,206811,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,24,770122,138559,84712,70814,48053,64839,118476,25821,218848,Diversify into more Fixed Deposits or Government Bonds.
Male,29,792213,133160,115795,59139,73046,102493,145160,32328,131092,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,878270,158281,99896,78562,74331,79002,135113,30734,222351,Consider increasing investment in Mutual Funds or Equity Market.
Female,32,78491,14107,8824,7841,6648,7670,14012,3123,16266,Consider increasing investment in Mutual Funds or Equity Market.
Female,32,74672,14703,8071,4751,6383,5525,14454,2799,17986,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,938234,110790,96057,74852,85627,72600,183778,55286,259244,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,155868,16542,20050,12216,9371,13008,26952,6050,51679,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,801539,92159,86727,55276,70029,106709,126757,46230,217652,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,727194,121493,105105,71585,40885,42226,138157,24143,183600,Consider increasing investment in Mutual Funds or Equity Market.
Female,34,273937,32724,39475,26558,18059,36767,52854,10836,56664,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,30,515786,80777,66429,33559,41749,38353,81949,24440,148530,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,133929,22845,17554,13158,11025,8589,21169,4327,35262,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,903052,107569,117304,83003,85513,81279,160679,48433,219272,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,274797,36055,35664,16132,20287,18496,47573,14051,86539,Diversify into more Fixed Deposits or Government Bonds.
Male,30,370137,53050,41524,21025,23609,27375,69110,23084,111360,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,429190,68004,44879,33611,23160,22239,71945,20513,144839,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,948487,151250,138889,81563,83816,137615,172344,28874,154136,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,31,190061,30445,27234,13191,17061,21900,31404,4949,43877,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,912871,110450,123237,72103,58177,85290,167108,33419,263087,Consider increasing investment in Mutual Funds or Equity Market.
Female,31,599640,85885,72455,46250,45630,52032,112814,19698,164876,Consider increasing investment in Mutual Funds or Equity Market.
Female,34,860729,89132,104159,81627,54982,57868,169056,35503,268402,Diversify into more Fixed Deposits or Government Bonds.
Female,24,196968,27080,26876,12418,12112,17681,37299,12135,51367,Diversify into more Fixed Deposits or Government Bonds.
Male,22,596291,61495,64552,58395,47488,62695,113699,19544,168423,Diversify into more Fixed Deposits or Government Bonds.
Male,27,919910,93264,136491,84106,80372,60319,159908,59175,246275,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,870193,168260,87422,76250,43781,129163,148671,42755,173891,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,233511,31938,26774,15368,20207,16338,45115,12370,65401,Consider increasing investment in Mutual Funds or Equity Market.
Female,23,189492,37328,28301,11229,18530,10356,28688,10703,44357,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,31,163897,32163,17596,11820,12244,22295,29730,6752,31297,Consider increasing investment in Mutual Funds or Equity Market.
Female,31,666146,98929,88212,57802,57884,33423,103250,30907,195739,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,680092,72171,81033,47252,65297,72571,126033,40713,175022,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,449520,64827,44996,28889,40775,63016,75329,17040,114648,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,112280,21608,13199,9276,7188,6713,19656,6662,27978,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,489805,79282,54095,41203,43308,40201,87166,24313,120237,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,406775,47200,60286,29517,40264,28050,70856,15226,115376,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,619716,62603,69342,43479,44345,85924,112654,28885,172484,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,384588,76456,50270,25434,32523,38293,74633,16496,70483,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,390033,53331,49970,24685,31722,58206,74742,13306,84071,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,283575,31062,42064,19703,18339,23149,49483,19523,80252,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,147582,29319,16943,9973,11156,7500,23427,9538,39726,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,34,460950,47452,48422,32742,39906,35441,76194,23602,157191,Diversify into more Fixed Deposits or Government Bonds.
Male,27,281337,52683,31314,21978,28133,34561,46932,11605,54131,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,350580,68500,41606,29940,18858,48916,54274,12148,76338,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,346049,53378,39165,28536,26895,42121,58035,15138,82781,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,86981,15763,12224,7455,6706,10205,13425,3120,18083,Consider increasing investment in Mutual Funds or Equity Market.
Female,21,922905,171674,120318,89599,58244,55033,167351,28439,232247,Diversify into more Fixed Deposits or Government Bonds.
Male,29,629751,112230,71059,48452,57036,81114,110080,29594,120186,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,288763,43246,32902,18805,25175,27060,49361,9410,82804,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,23,650877,84958,93088,58693,56838,34049,98510,29474,195267,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,27,341505,50353,49685,23643,22002,36580,66844,16065,76333,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,81875,15201,8933,4608,6321,9803,16191,2855,17963,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,883093,118913,111087,74398,69147,108005,149257,46981,205305,Consider increasing investment in Mutual Funds or Equity Market.
Female,32,718039,84942,83145,63678,47953,83878,118038,28064,208341,Consider increasing investment in Mutual Funds or Equity Market.
Male,21,661011,85980,95417,48283,40501,54298,99243,41663,195626,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,785846,96319,102078,40279,72082,54023,118064,39426,263575,Consider increasing investment in Mutual Funds or Equity Market.
Female,32,484438,93036,54805,36417,34086,38476,95128,23702,108788,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,711271,125320,89837,64899,51867,68651,124251,23062,163384,Consider increasing investment in Mutual Funds or Equity Market.
Female,32,390345,75089,44085,23385,24275,51422,73552,14062,84475,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,669265,67849,99578,37898,61955,85781,131781,32706,151717,Consider increasing investment in Mutual Funds or Equity Market.
Female,27,353001,46998,39393,24316,21235,43051,67538,18188,92282,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,22,886038,105092,90260,70015,64799,61996,149213,53129,291534,Diversify into more Fixed Deposits or Government Bonds.
Female,35,817632,133513,101249,80594,42771,94699,159829,25347,179630,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,454067,55110,62712,33746,45229,49454,89075,12019,106722,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,839640,96940,112697,59466,77077,77994,155879,40655,218932,Consider increasing investment in Mutual Funds or Equity Market.
Female,26,65028,7283,8837,5548,3628,6905,10846,3207,18774,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,473393,67352,49819,27410,25724,32780,91186,18351,160771,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,707029,101219,99017,38896,43401,86784,128946,32631,176135,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,99920,11707,13961,5703,5669,12940,16833,4346,28761,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,440163,56282,51168,29504,37334,32584,73184,28438,131669,Consider increasing investment in Mutual Funds or Equity Market.
Male,35,281310,53819,36751,15544,21683,31726,46614,13742,61431,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,901514,160657,116084,51612,76511,125793,146501,43944,180412,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,868468,153832,99888,70208,56791,52062,166058,44915,224714,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,552324,89145,59159,38038,51826,36636,84171,23031,170318,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,622500,77824,86641,51298,31665,32201,111020,37868,193983,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,570928,64253,74519,35408,38159,51888,88956,42745,175000,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,142032,28034,17363,8930,13909,18721,26448,4185,24442,Consider increasing investment in Mutual Funds or Equity Market.
Female,31,487951,68829,67809,37075,40514,52025,90568,14347,116784,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,666858,91868,72257,41413,40039,66907,100662,49828,203884,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,293709,44613,30143,24702,18634,17821,56250,12164,89382,Consider increasing investment in Mutual Funds or Equity Market.
Female,31,323528,35742,33273,27962,26776,16442,52112,22369,108852,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,582075,67063,74993,35307,42178,79594,96118,31498,155324,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,663691,95457,69560,45152,61102,97765,127597,19416,147642,Consider increasing investment in Mutual Funds or Equity Market.
Female,21,649887,87443,91998,50493,57716,83041,99793,24083,155320,Diversify into more Fixed Deposits or Government Bonds.
Male,27,424447,62777,62505,40285,30200,25283,72252,20143,111002,Consider increasing investment in Mutual Funds or Equity Market.
Female,26,260596,49628,29902,17054,21202,26195,41642,8582,66391,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,373798,55677,51947,33246,36928,32996,63396,9979,89629,Consider increasing investment in Mutual Funds or Equity Market.
Female,34,122729,22458,16241,10861,9024,17430,18588,3137,24990,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,28,374812,51575,39076,20388,29364,26841,67963,26935,112670,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,302267,55130,33981,16468,29474,45174,51000,10377,60663,Consider increasing investment in Mutual Funds or Equity Market.
Female,26,865487,99127,117281,61529,78024,93239,131674,37995,246618,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,761859,137790,102398,62188,63711,84188,138701,28014,144869,Consider increasing investment in Mutual Funds or Equity Market.
Female,21,553907,84938,76377,37929,40857,49932,88880,23132,151862,Diversify into more Fixed Deposits or Government Bonds.
Male,29,938412,99004,109115,65247,51302,67608,152470,48321,345345,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,96209,12990,10318,8329,6459,5988,17287,4110,30728,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,199082,21064,21534,14135,16857,22725,29914,13065,59788,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,906050,121020,121398,46783,63142,47079,172890,39614,294124,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,139073,23288,15834,7895,13423,15229,27054,4749,31601,Consider increasing investment in Mutual Funds or Equity Market.
Male,35,373259,68300,54900,26038,35537,31170,62047,19013,76254,Consider increasing investment in Mutual Funds or Equity Market.
Female,27,655587,127997,73053,60222,44005,96977,126195,24219,102919,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,31,264004,41546,30283,15808,20168,30928,49392,8881,66998,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,817562,125568,99584,49390,63482,63436,144506,32594,239002,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,637409,121104,74516,51322,35757,72028,104281,34905,143496,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,29,74705,10415,9739,4541,6953,9744,12123,4050,17140,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,771808,80280,106223,56260,70831,74517,118302,32552,232843,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,802183,159985,93622,46539,72430,43725,122991,34111,228780,Diversify into more Fixed Deposits or Government Bonds.
Male,27,581240,60879,87061,49148,44162,75861,106439,18501,139189,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,85274,10400,12227,5700,6172,7599,13013,5142,25021,Consider increasing investment in Mutual Funds or Equity Market.
Female,26,142212,21902,19029,9089,10004,9850,24316,7940,40082,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,615363,119669,81950,46926,43579,37263,106983,20676,158317,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,839077,132758,114544,81663,54408,75257,133537,46368,200542,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,113251,20658,15713,5987,8815,8324,17665,6430,29659,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,917314,111140,114701,69995,55648,91022,140020,33481,301307,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,607705,114268,73398,57957,45466,56584,100147,17295,142590,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,549916,72022,71722,48469,42366,69194,86825,25224,134094,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,335873,63232,37248,20617,29363,44068,54547,11558,75240,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,214908,35068,25772,17451,16080,27372,41326,9662,42177,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,24,640420,103205,83658,46419,32905,51181,98103,32343,192606,Diversify into more Fixed Deposits or Government Bonds.
Male,27,653946,120946,84908,54785,38845,49828,103426,37076,164132,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,912704,116855,116932,52076,51293,77359,151981,46006,300202,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,742232,118826,85950,65641,40477,61218,136170,37501,196449,Consider increasing investment in Mutual Funds or Equity Market.
Female,35,424909,47569,51828,27815,34670,26764,77983,23170,135110,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,668179,85185,91789,39687,38495,34435,129002,37247,212339,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,726825,110239,76853,40258,48471,73862,134494,36379,206269,Consider increasing investment in Mutual Funds or Equity Market.
Male,35,139285,25511,16557,7160,9932,8148,23136,9696,39145,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,428837,79650,47954,29503,30687,54199,65043,12651,109150,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,826881,92372,108666,58483,76442,64832,144260,48102,233724,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,815335,125986,94448,46985,62805,52357,160593,41910,230251,Focus on balancing investments between Gold and Fixed Deposits for stability.
Female,27,578781,68002,78733,31936,51270,55406,90656,21032,181746,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,21,355518,70868,40429,34703,26696,35659,54947,17989,74227,Diversify into more Fixed Deposits or Government Bonds.
Male,29,471720,81744,59407,26422,27730,43972,79302,23862,129281,Consider increasing investment in Mutual Funds or Equity Market.
Male,35,367446,39550,37486,27762,18896,20561,62031,17112,144048,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,443828,61491,49748,26358,31172,27513,74333,24854,148359,Consider increasing investment in Mutual Funds or Equity Market.
Female,23,249575,45672,36598,16326,16131,26618,39151,9324,59755,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,24,337979,35597,40204,18828,26393,38583,67378,13266,97730,Diversify into more Fixed Deposits or Government Bonds.
Male,29,898979,108525,132483,83814,72640,120590,144272,44350,192305,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,608692,113662,68420,45907,58732,71774,111406,21648,117143,Consider increasing investment in Mutual Funds or Equity Market.
